dataset,model_type,activation,test_loss,test_accuracy
Iris,Pure RBF,,0.8802042007446289,0.6333333333333333
Iris,MLP,relu,0.19744639098644257,0.9666666666666667
Iris,Hybrid,relu,0.09106907993555069,0.9666666666666667
Iris,MLP,tanh,0.17119698226451874,1.0
Iris,Hybrid,tanh,0.11126530170440674,0.9666666666666667
Iris,MLP,sigmoid,0.6533925533294678,0.8333333333333334
Iris,Hybrid,sigmoid,0.21484200656414032,0.9333333333333333
Iris,MLP,identity,0.12273333966732025,1.0
Iris,Hybrid,identity,0.14009791612625122,0.9666666666666667
Iris,MLP,softplus,0.2126627117395401,0.9666666666666667
Iris,Hybrid,softplus,0.15989913046360016,0.9666666666666667
Iris,MLP,elu,0.11215579509735107,1.0
Iris,Hybrid,elu,0.09726204723119736,0.9666666666666667
Iris,MLP,prelu,0.1337643414735794,1.0
Iris,Hybrid,prelu,0.10512872785329819,1.0
Iris,MLP,sinusoid,0.12339337915182114,1.0
Iris,Hybrid,sinusoid,0.070231132209301,1.0
Iris,MLP,step,0.35806572437286377,0.9
Iris,Hybrid,step,0.33655911684036255,0.9
